fecha,cartera_total,cartera_vencida,deuda,patrimonio,intereses_cartera_total,intereses_deuda,vehiculos_mensuales_estimados,ebt
2016-10-31,1295264589398.0,91161608440.0,1106885537610.0,229092263883.0,17571578260.0,8791376773.0,20473.51784794201,577610670.0
2016-11-30,1364156973618.0,88891804179.0,1133213938672.0,229458087114.0,17480313738.0,8536845690.0,21981.52818978327,1169854995.0
2016-12-31,1407741293050.0,90774768605.0,1215784373657.0,230407760123.0,19136786504.0,9375774490.0,26129.424433030897,2108634151.0
2017-01-31,1346876966583.0,102116428125.0,1153913264796.0,230875342106.0,18227714961.0,10055821596.0,17672.211947468943,935163966.0
2017-02-28,1344372363146.0,93718719624.0,1186822434772.0,231172639186.0,16377514796.0,8678452289.0,18260.43785679345,523757001.0
2017-03-31,1490504586368.0,91219998256.0,1229723905894.0,231598492309.0,19255675143.0,9337332741.0,18722.13413816718,922543406.0
2017-04-30,1434058975173.0,95333228140.0,1307635644875.0,231904754921.0,18951068915.0,9395635898.0,19069.188133348267,362797402.0
2017-05-31,1442350324213.0,93181551374.0,1292501076092.0,232205118036.0,18769214978.0,9715210651.0,18685.00418761737,573096138.0
2017-06-30,1489430779353.0,120355403017.0,1287759623490.0,232676506858.0,18434957704.0,8991273257.0,19313.672134034656,873160622.0
2017-07-31,1446870541640.0,108594877498.0,1307712061360.0,233090074596.0,18553524161.0,8991768319.0,20479.565002627027,820343548.0
2017-08-31,1455098500053.0,104670627342.0,1324286281774.0,233493516961.0,18402784274.0,8972514276.0,19715.363363813358,820122116.0
2017-09-30,1547563212414.0,103957882511.0,1344064211411.0,233898686403.0,18460851908.0,8586444449.0,19107.463326018376,850399789.0
2017-10-31,1524681728382.0,106449798488.0,1328180341231.0,234315845144.0,18943899079.0,8507154523.0,18985.082660102176,798204568.0
2017-11-30,1521241375513.0,110228064442.0,1314334374541.0,234717566339.0,18623709397.0,8518665238.0,20568.860142021724,971011867.0
2017-12-31,1576308643322.0,123803800760.0,1375817011319.0,235196949826.0,19011516467.0,8414905210.0,24162.01710798749,1330744818.0
2018-01-31,1539029943653.0,132619938667.0,1345046347743.0,235343158402.0,19187944684.0,8485888969.0,19363.439170449477,469171620.0
2018-02-28,1580081706999.0,129220920488.0,1354593491702.0,235650790894.0,18910490112.0,7662641969.0,19804.862990937043,486576044.0
2018-03-31,1613629808302.0,131607923171.0,1459777769704.0,236071389143.0,19604811805.0,8447255637.0,20350.439052150137,718365844.0
2018-04-30,1620899685154.0,133959623958.0,1457667481167.0,236536251827.0,19807997277.0,8134691562.0,20549.216294392667,615789891.0
2018-05-31,1619448957904.0,135035724340.0,1627720252121.0,237120627270.0,19802328515.0,8745711376.0,20254.064472091784,1006754329.0
